sentence;cleanliness;food/drinks;location;room amenities;staff;other
Orbitz site did not specify that motorcycles wasn't allowed on the property so I rode mine and it made a big inconvenience.;-;-;-;-;-;-
Did not realize when I made the reservation that my room would be literally a mile down the road.;-;-;-;negative;-;-
You had to drive EVERYWHERE.;-;-;-;-;-;-
Advertised lazy river...did not say bring your own rafts.;-;-;-;-;-;-
Was very disappointed;-;-;-;-;-;-
Air conditioner worked poorly in condo at Apple Valley.;-;-;-;negative;-;-
Resort amenities very nice;-;-;-;-;-;-
Hot water was stinking like rotten eggs.;negative;negative;-;-;-;-
No shower during my two day stay.;-;-;-;negative;-;-
It was unbearable to wash in.;-;-;-;-;-;-
The last day there the 'waitress' acted like she didn't know anything about the breakfast we were supposed to receive.;-;negative;-;-;-;-
So I just paid for it all.;-;-;-;-;-;-
Very much upset about this booking.;-;-;-;-;-;-
Outdated amenities lacking.;-;-;-;-;-;-
E.g.;-;-;-;-;-;-
1tiny bar of soap extra pillows had no pillow cases dimly lit stained carpeting.;negative;negative;-;-;-;-
Unfortunately I️ could go on.;-;-;-;-;-;-
Staff was very nice allowed us to check in early without asking.;-;-;-;-;positive;-
Super nice with lots to do and very friendly people.;-;-;-;-;positive;-
Great location.;-;-;positive;-;-;-
Wonderful staff.;-;-;-;-;positive;-
DVD in room did not work.;-;-;-;negative;-;-
No extra blankets and cooling system was a bit outdated couldn't put it on a specific temperature so it just ran all night no auto shutoff.;-;-;-;-;-;-
Other than that...wonderful place.;-;-;-;-;-;-
Stayed overnight in this motel while visiting the Sarnac Lake and Adirondack Park.;-;-;-;-;-;-
Room was small but comfortable and quiet.;-;-;-;positive;-;-
Only complaint might be the high price considering the lack of amenities though the place was full so price may be comparable to others in area.;-;-;positive;-;-;-
Attendant was friendly and helpful at suggesting restaurants in the nearby area.;-;-;positive;-;positive;-
Outstanding staff.;-;-;-;-;positive;-
Very clean comfortable room.;positive;-;-;positive;-;-
Great location;-;-;positive;-;-;-
Wonderful stay and the owners and staff are some of the nicest people I’ve ever met.;-;-;-;-;positive;-
Thé hôtel is clean the room is confortable it’s a 12 minutes walk to the Main Street of Lake Placid.;positive;-;positive;positive;-;-
It feel good to stay in this place.;-;-;-;-;-;-
Well maintained hotel.;-;-;-;-;-;-
Close to the action.;-;-;-;-;-;-
Beautiful view and access to lake placid;-;-;-;-;-;-
Perfect location quiet clean affordable great host!;positive;-;positive;-;-;-
I will recommend this to my friends.;-;-;-;-;-;-
Staff was very friendly and helpful.;-;-;-;-;positive;-
The location is great -- less than a 10-minute walk to Main Street  and there are also several restaurants and stores nearer the hotel.;-;-;positive;-;-;-
The rooms have recently been updated and are kept very clean.;positive;-;-;positive;-;-
We really enjoyed our stay here and will definitely stay here again;-;-;-;-;-;-
Very noisy street area and AC;-;-;negative;-;-;-
Very nice inn.;-;-;-;-;-;-
Staff very friendly.;-;-;-;-;positive;-
Staff were very friendly and polite.;-;-;-;-;positive;-
The woman who ran the desk was very knowledgable of the area and welcomed you like family.;-;-;positive;-;-;-
Even though it was snowy and we couldn't go to Whiteface Mountain the place was magical comfortable and clean.;positive;-;-;-;-;-
Location was perfect.;-;-;positive;-;-;-
Chuck the property manager was beyond accommodating.;-;-;-;-;-;-
He’s an asset.;-;-;-;-;-;-
I found the per night cost a bit high and the cleaning fee excessive.;-;-;-;-;-;-
Only drawback.;-;-;-;-;-;-
New clean good location good staff could use a blind on window above kitchen sink just that extra sense of privacy when there is a shoe store parking on other side also bed could be better on wheels and moves and spring  mattress was  squeaky and made a lot of noise.;positive;-;-;positive;-;-
Would suggest upgrade to a better bed.;-;-;-;-;-;-
Our 1 bedroom suite was very clean well updated and spacious.;positive;-;-;-;-;-
We were across the street from a market and less than a mile from main street shops and restaurants.;-;-;-;-;-;-
Went for a lacrosse tournament for my son.;-;-;-;-;-;-
Was a wonderful place to stay.;-;-;-;-;-;-
Just a short few minute drive into town.;-;-;-;-;-;-
Very clean and friendly property managers.;positive;-;-;-;positive;-
Lake Placid needs that kind of new installations.;-;-;-;-;-;-
Well located..;-;-;-;-;-;-
Brand new kitchen.;-;-;-;positive;-;-
The place is just a great spot.;-;-;-;-;-;-
Exceeded expectations in every way.;-;-;-;-;-;-
From cleanliness to awesome towels it was a great stay and I will stay there every time I go up.;-;-;-;-;-;-
The sites from my deck were a great place to have a cup of morning coffee.;-;positive;-;-;-;-
The  hotel was fine the disappointment was the 'hidden fee' for cleaning the room 70!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !;negative;-;-;negative;-;-
Stay at the hotel was excellent  Staff were very good and very friendly.;-;-;-;-;positive;-
Breakfast was good and could not ask for better;-;positive;-;-;-;-
Very clean and smart hotel.;positive;-;-;-;-;-
Staff very friendly and helpful.;-;-;-;-;positive;-
Very good breakfast.;-;positive;-;-;-;-
We were very happy with our stay.All The staff very helpful Place kept scrupulously cleanthe breakfast was first classwould highly recommend to anyone;-;positive;-;-;positive;-
Staff were friendly and helpful.;-;-;-;-;positive;-
The room was clean and pleasant.;positive;-;-;positive;-;-
We did not use any other facilities as the purpose of the stay was not to have to drive home after a celebration meal at the Restaurant Herradura.;-;negative;-;-;-;-
went meet friends;-;-;-;-;-;-
The hotel is basic but clean.;positive;-;-;-;-;-
Basic breakfast but sufficient.;-;positive;-;-;-;-
Bed was very hard and air con just about did the job.;-;-;-;-;-;-
The ensuite was good nicely done and clean.;positive;-;-;-;-;-
This is a basic hotel for stop overs or possibly business travellers it's not a holiday venue.;-;-;-;-;-;-
We Often use La torre as our Base to get around we enjoyed our stay all staff helpfull and friendly;-;-;-;-;positive;-
This is the one of best hotels i have stayed in Spain.;-;-;-;-;-;-
My sheets was not changed.;-;-;-;-;-;-
The room was not cleaned at all.;negative;-;-;negative;-;-
Advised front desk but didn’t really cared.;-;-;-;-;-;-
Construction all around me for my 2 days stayed.;-;-;-;-;-;-
Very noisy and workers are working past 6pm.;-;-;-;-;-;-
Parking was so hard because of workers parking the same area we are at.;-;-;negative;-;-;-
Staff was great very helpful.;-;-;-;-;positive;-
Room was clean and quiet!;positive;-;-;positive;-;-
A great value for this resort area.;-;-;positive;-;-;-
Recently remodeled.;-;-;-;-;-;-
Very near restaurants  stores.;-;-;positive;-;-;-
I only paid 68 per night including tax for an October stay.;-;-;-;-;-;-
Friendly helpful staff.;-;-;-;-;positive;-
Stayed one night in renovated room without carpet wood look flooring.;-;-;-;negative;-;-
Found room and bedding to be clean.;negative;-;-;negative;-;-
Room on backside so quiet.;-;-;-;positive;-;-
Good stay and value for the money considering they don't charge additional pet fees.;-;-;-;-;-;-
Front desk staff very friendly and helpful.;-;-;-;-;positive;-
Nice  quiet;-;-;-;-;-;-
The room was ok.;-;-;-;negative;-;-
The bathroom was not very clean.;negative;-;-;negative;-;-
Location has not been updated--old carpeting and bedspread 19' CRT TV.;-;-;negative;negative;-;-
Loud late night outside of room.;-;-;-;negative;-;-
Dogs off-leash.;-;-;-;-;-;-
Love the new laminate floor.;-;-;-;-;-;-
Previous occupant’s food left in the frig.;-;negative;-;-;-;-
Hair and stuff in tub.;-;-;-;-;-;-
Didn’t want  to use.;-;-;-;-;-;-
Great bed and pillow.;-;-;-;-;-;-
Cheap no thrills motel that did us ok for a night.;-;-;-;-;-;-
The construction/ road work going on right outside motel made driving into and out of motel difficult but beyond their control I guess.;-;-;-;-;-;-
The only thing good about this place was its location.;-;-;negative;-;-;-
Otherwise every single aspect of this building inside and out was dirty.;negative;-;-;-;-;-
Carpet inside the room was dirty microwave was dirty bathroom tub was dirty.;negative;-;-;negative;-;-
Small tube TV picture quality was horrible extremely grainy Remote wasn’t working.;-;-;-;negative;-;-
Shady people  construction no WiFi old box television;-;-;-;negative;-;-
Stayed for one night en route between San Francisco and Mammoth Lakes/Devil's Postpile.;-;-;-;-;-;-
It served its purpose - a decent bed a shower etc.;-;-;-;negative;-;-
There was some overnight road construction that night and we had the corner room near the construction...but the curtains were good enough to keep the additional lighting out.;-;-;positive;positive;-;-
Check in and check out were simple.;-;-;-;-;-;-
They weren't going to honor our reservation because they were overbooked.;-;-;-;-;-;-
Luckily we arrived early and got the last room.;-;-;-;negative;-;-
That was scary!;-;-;-;-;-;-
Room smelled.;negative;-;-;negative;-;-
Sheets had human hair on them.;-;-;-;-;-;-
Sheets were not clean and unchanged when we arrived.;negative;-;-;-;-;-
Untidy and bad odor of carpet..bath towel is tiny and smells bad..uncomfortable tv screen;negative;-;-;negative;-;-
It was a quit stay and the staff was great.;-;-;-;-;positive;-
The check in was super fast under 5 min.;-;-;-;-;-;-
And they respected our privacy;-;-;-;-;-;-
I wanted out of there as soon as possible.;-;-;-;-;-;-
No rest there bed was awful.;-;-;-;-;-;-
Hated the location.;-;-;negative;-;-;-
Room was tiny toiletries only available on request no breakfast 'nonsmoking' but smelled of smoke and had an ashtray in the room.;negative;negative;-;negative;-;-
I think this motel is giving most of us what we are looking for a nice clean affordable room to sleep in and we don't care about fancy wallpaper.;negative;-;-;negative;-;-
Thank You Motel 6 for a nice stay.;-;-;-;-;-;-
Clean room quick check in staff always polite and efficient.;positive;-;-;positive;positive;-
No microwave in room and very small tv but the heater AND beds were great.;-;-;-;positive;-;-
Because of the price and being dog friendly we have stayed there several times this year.;-;-;-;-;positive;-
Great centeral location when we see concerts or have family events in Tahoe!;-;-;positive;-;-;-
Very good service great breakfast close to beach and directly connected to the Ostsee Therme in case of bad weather.;-;positive;-;-;positive;-
Walking distance to Scharbeutz and Timmendorfer Strand downtown areas for dinner and shopping - perfect place;-;positive;positive;-;-;-
Older facility but clean.;positive;-;-;-;-;-
Owner and staff very friendly.;-;-;-;-;positive;-
We were a little shocked at first arriving.;-;-;-;-;-;-
We are used to more upgraded hotels.;-;-;-;-;-;-
Was one of the most cleanest places we've ever stayed at.;positive;-;-;-;-;-
Staff was friendly and nice!;-;-;-;-;positive;-
Only problem was toliet paper stock.;-;-;-;-;-;-
2 holders and hardly at stock.;-;-;-;-;-;-
We did run out as we were leaving.;-;-;-;-;-;-
We will return!;-;-;-;-;-;-
convienient location price was right staff was pleasant;-;-;positive;-;positive;-
Very quaint motor lodge old school but nice as advertised.;-;-;-;-;-;-
Easy to find and close to a few places to eat.;-;-;-;-;-;-
Overall good experience.;-;-;-;-;-;-
We really liked our room #45 it was in the back and not on the highway.;-;-;-;positive;-;-
Everything was clean and everyone was friendly and helpful Would  stay there again;positive;-;-;-;positive;-
It almost fealt like home.;-;-;-;-;-;-
It's just a place to sleep.;-;-;-;negative;-;-
The WiFi was terrible - you had to wait to 2am to be able to work/answer emails;-;-;-;-;-;-
Nice place clean great rates friendly!;positive;-;-;-;positive;-
Dated but clean.;negative;-;-;-;-;-
Close to town.;-;-;-;-;-;-
Problems with toilet but that could happen anywhere.;-;-;-;-;-;-
Staff worked immediately to fix it.;-;-;-;-;positive;-
Overall decent place to stay for a weekend at a reasonable price.;-;-;-;-;-;-
We found the  Mahoning Inn to be convenient very clean and comfortable with a friendly staff and great view of the mountain!;positive;-;-;-;positive;-
I had a clean room and the customer service is great!;positive;-;-;positive;positive;-
I have stayed here 4 times and each time I was satisfied!;-;-;-;-;-;-
Very close to shopping and food.;-;positive;-;-;-;-
The room is very small but comfortable.;-;-;-;positive;-;-
My biggest complaint is the moth ball odor in the room.;-;-;-;negative;-;-
It must be something the cleaning staff uses because it was very powerful each day we returned to our room.;positive;-;-;positive;positive;-
The odor was nauseating.;-;-;-;-;-;-
The bathroom sink faucet was reversed left for cold and right for hot.;-;-;-;negative;-;-
We at first thought we didn't have any hot water but figured it out.;-;-;-;-;-;-
Otherwise the room was clean and comfortable.;positive;-;-;positive;-;-
The room was very dated.;-;-;-;negative;-;-
Not enough space in the bathroom for toiletries and the bed was very firm.;-;-;-;positive;-;-
This met our needs though because we only wanted to sleep.;-;-;-;positive;-;-
Not recommended for long stays and I think the price was high for the quality.;-;-;-;-;-;-
But it did suit our needs at the time.;-;-;-;-;-;-
Not fancy but that's okay.;-;-;-;-;-;-
Don't feel the need to pay more for that.;-;-;-;-;-;-
It was clean comfortable with friendly staff.;positive;-;-;-;positive;-
The best things about Eastover are the location the mansion and the beautiful property.;-;-;positive;-;-;-
Our room in one of the outer buildings was adequate.;-;-;-;negative;-;-
The breakfast left much to be desired.;-;negative;-;-;-;-
An absolutely wonderful weekend.;-;-;-;-;-;-
Peaceful and friendly and the staff is terrific.;-;-;-;-;positive;-
The accomodations are rustic but we had a large and comfortable room with a great view.;-;-;-;positive;-;-
The grounds are spectacular and the entire place is set up to promote an easy interaction with guests.;-;-;-;-;-;-
We took a couple of excellent tai chi classes.;-;-;-;-;-;-
Indoor swimming pool is great.;-;-;-;-;-;-
An entirely pleasant warm relaxed atmosphere.;-;-;-;-;-;-
incompetent staff could not fix anything they yes you and do nothing to fix the problems not good service at all wifi did not work the whole trip lied about  breakfast tv channels did not have sound very little hot water;-;negative;-;negative;negative;-
We enjoyed our stay.;-;-;-;-;-;-
Nice room and pool.;-;-;-;-;-;-
Friendly staff although seemed a bit overwhelmed.;-;-;-;-;positive;-
This is great for wellness retreats but not really set up well for a hotel.;-;-;-;-;-;-
Gorgeous views.;-;-;-;-;-;-
Best breakfast ever — yummy and ultra healthy.;-;positive;-;-;-;-
Scenic location and close to Tanglewood downtown Lenox and hiking trails.;-;-;negative;-;-;-
Sparkling and impressive indoor pool and extensive gardens and grounds.;-;-;-;-;-;-
Wonderful laid back environment and unique surroundings.;-;-;-;-;-;-
The breakfast was delicious and healthy.;-;positive;-;-;-;-
We stayed at the Ranch and the room was pretty basic.;-;-;-;negative;-;-
Another chair would be good.;-;-;-;-;-;-
The beds were comfortable and the towels plush and soft.;-;-;-;-;-;-
I was expecting rustic but it was a bit more rustic than I was expecting.;-;-;-;-;-;-
Sevice was very nice and accommodating.;-;-;-;-;-;-
Deborah was very hospitable and the Retreat Center is fantastic.;-;-;-;-;-;-
We were off season and the area was fantastic even with some snow.;-;-;positive;-;-;-
The estate was empty the two nights we stayed they often hold large retreats.;-;-;-;-;-;-
Cool old estate.;-;-;-;-;-;-
Could definitely use some updating though we were okay with a more rustic stay.;-;-;-;-;-;-
Enjoyed the peace and quiet and the kids enjoyed having the pool to ourselves and the beautiful estate.;-;-;-;-;-;-
We will go again in the future - so much better than a stay at a chain.;-;-;-;-;-;-
We went to Tanglewood Kripalu and Jacob's Pillow.;-;-;-;-;-;-
Perfect location!;-;-;positive;-;-;-
The mansion and surrounding grounds are spectacular.;-;-;-;-;-;-
The staff was incredibly welcoming and lovely.;-;-;-;-;positive;-
Our room was gorgeous and spotless.;positive;-;-;positive;-;-
I loved the entire stay.;-;-;-;-;-;-
Absolutely breathtaking grounds combined with very attentive and welcoming staff.;-;-;-;-;positive;-
Very relaxing.;-;-;-;-;-;-
one of the nicest hotels right in the center of leon... historic building good breakfast and an easy walk anywhere you need to go.. an excellent value...;-;positive;positive;-;-;-
Beautiful hotel in Leon in an old 1850's building.;-;-;-;-;-;-
Rooms were comfortable and clean.;positive;-;-;positive;-;-
Happy hour was fabulous!;-;-;-;-;-;-
The only negative is that the pool could use some work and more cleaning.;-;-;-;-;-;-
Otherwise amazing place and lovely staff.;-;-;-;-;positive;-
The stay is Leon at La Pearls was awesome.;-;-;-;-;-;-
Rooms were clean and beds comfy.;positive;-;-;positive;-;-
Complimentary Breakfast was great and service was awesome.;-;positive;-;-;positive;-
2 blocks from the square and has a bonus casino across the street.;-;-;-;-;-;-
Free parking and security/Safety was comforting.;-;-;-;-;-;-
Everything was easy and enjoyable from check-in to check-out!;-;-;-;-;-;-
Happy hour was a nice little bonus parking was across from the hotel in the casino and extremely secure.;-;-;-;-;-;-
Staff were extremely polite and helpful and the rooms were beautiful clean and had everything we needed and more!;positive;-;-;positive;positive;-
And lastly very centrally located!;-;-;-;-;-;-
We would definitely stay again!;-;-;-;-;-;-
An excellent all-round stay.;-;-;-;-;-;-
Particularly good were: the welcome service throughout the hotel and day the general ambiance in the common areas the complementary happy hour of drinks and snacks and a great location.;-;positive;positive;-;positive;-
The room was a little dark with only a small courtyard window and there was a logistical problem with the safe that could not be fixed during our stay but neither of these detracted from the quality of our stay.;-;-;-;positive;-;-
Wonderful courtyard hotel close to everything.;-;-;-;-;-;-
Beautiful Room with high ceilings.;-;-;-;positive;-;-
Only thing there was only one small window I.;-;-;-;negative;-;-
The bathroom.;-;-;-;negative;-;-
Otherwise highly recommended;-;-;-;-;-;-
Got a suite and it was excellent.;-;-;-;-;-;-
Beautiful room with nice bathroom and deck for relaxing.;-;-;-;positive;-;-
Breakfast was good and staff were very helpful.;-;positive;-;-;positive;-
I was really disappointed in the pool not because it was small but because it did not look clean.;negative;-;-;-;-;-
The water looked murky and dirty.;negative;-;-;-;-;-
Wonderful hotel in Leon!;-;-;-;-;-;-
Beautiful  clean.;positive;-;-;-;-;-
we booked the presidential suite and when I got there they were rating it 1/3 of the price I paid.;-;-;-;-;-;-
besides it was not even close a presidential suite.;-;-;-;-;-;-
Lack of service.;-;-;-;-;negative;-
stayed for a night after a meeting in Leon great hotel 2 blocks from the center.;-;-;-;-;-;-
definitely an excellent choice.;-;-;-;-;-;-
I liked the fact that it had a small fridge and microwave in the room.;-;-;-;positive;-;-
Good water pressure for shower.;-;-;-;positive;-;-
Upon arrival to the hotel staff stated they did not have our information from Expedia so they could not honor agreed terms.;-;-;-;-;negative;-
Not coffee or tea in the room.;-;negative;-;negative;-;-
Breakfast was 'Snacks'.;-;negative;-;-;-;-
Observed a drug deal transaction in parking lot.;-;-;-;-;-;-
Beds were the only saving grace.;-;-;-;-;-;-
Won't be back.;-;-;-;-;-;-
Old property but exceptionally clean and really comfortable bed.;positive;-;-;-;-;-
Had plenty of light even individual lights over the beds.;-;-;-;-;-;-
We were pleased with the room.;-;-;-;positive;-;-
Only down was the lack of a coffee machine in the room.;-;positive;-;positive;-;-
Reserved a king room- they were filled at check in  reserved 2 week’s prior!;-;-;-;negative;-;-
Cracked bathroom fixtures toilet flush difficult hot water limited!;-;-;-;negative;-;-
The room was very clean but there was a sickly sweet disinfectant smell a cross between a car air freshener and a urinal cake that was overwhelming.;negative;-;-;negative;-;-
The beds were very comfortable.;-;-;-;-;-;-
There was a 1/4' gap around the door where air came through and even though we had the heat on the highest setting we were cold all night.;-;-;-;-;-;-
Room was spotless.;positive;-;-;positive;-;-
Owner was super nice.;-;-;-;-;-;-
I was a little worried because this is an older hotel.;-;-;-;-;-;-
We were in the area for a concert.;-;-;negative;-;-;-
I even brought my own sheets just in case but I didn't need them.;-;-;-;-;-;-
We would stay here again for sure.;-;-;-;-;-;-
A bit small but a nice quite place.;-;-;-;-;-;-
They made you feel at home.;-;-;-;-;-;-
I'd stay again.;-;-;-;-;-;-
Aussie man checked us in and gave a free upgrade to a king sized bed.;-;-;-;-;-;-
We really appreciated that since it was our honeymoon.;-;-;-;-;-;-
Place was clean for an older motel.;negative;-;-;-;-;-
He came us directions to the Swinging Bridge and where to go for restaurants.;-;-;-;-;-;-
The River Wild production staff stayed here!;-;-;-;-;negative;-
Did not exspect  to much from the outside appearance.;-;-;-;-;-;-
Older motel well kept but you know what I mean.;-;-;-;-;-;-
Check in standard friendly office small ring bell etc.;-;-;-;-;-;-
Opened door to room and different world.;-;-;-;negative;-;-
Updated and well done.;-;-;-;-;-;-
Actually most comfortable bed on our whole trip.;-;-;-;-;-;-
Understand it is pet friendly but did not smell any! LOL;positive;-;-;-;positive;-
You never know what to expect in small towns with mom and pop like properties.;-;-;positive;positive;positive;-
This was pleasantly surprising!;-;-;-;-;-;-
It may be an older facility but the room had been updated and was VERY clean.;positive;-;-;positive;-;-
Staff was friendly.;-;-;-;-;positive;-
They know how to take care of their guests.;-;-;-;-;-;-
A working ice machine  in room coffee makers would add an excellent touch.;-;positive;-;positive;-;-
Our room was very comfortable and the staff very friendly and willing to help.;-;-;-;positive;positive;-
Would definitely stay there again.;-;-;-;-;-;-
small motel - they were working on the exterior - nice backyard area for pets to run.;-;-;negative;-;-;-
Would stay there again when in the area.;-;-;positive;-;-;-
Stayed one night before moving on to Kalispell.;-;-;-;-;-;-
Greeted nicely by woman at the desk room was clean very dog friendly has a dog run breakfast was sparse so we went to a grocery store instead.;-;-;-;-;-;-
Only complaint is having to walk through snow to get to our room.;-;-;positive;positive;-;-
For the elderly that is a safety issue.;-;-;negative;negative;negative;-
If you are looking for modern luxury then Sandman is not your motel but if you want clean basic comfort at a good price the Sandman is a good option.;negative;-;-;-;-;-
Only complaint was the internet signal was weak and connection was slow we were in the end room.;-;-;-;positive;-;-
Easy check in friendly staff nice small place.;-;-;-;-;positive;-
City was quiet when I was there;-;-;-;-;-;-
Nice rooms and resort with private beach and many pools.;-;-;-;negative;-;-
Only problem was fitness room under remodel and no sauna or steam room;-;-;-;positive;-;-
Super fantastic place to go.;-;-;-;-;-;-
Pictures will not do it justice!;-;-;-;-;-;-
The only element we missed was a walking path without steps or steep hills.;-;-;positive;-;-;-
It is a great place to take a stroll with a view and yet we were not able to do that on the property.;-;-;-;-;-;-
Other than that it was magnificent.;-;-;-;-;-;-
Incredible service.;-;-;-;-;positive;-
Hotel is excellent.;-;-;-;-;-;-
Staff is great beaches and pools are close and abundant.;-;-;-;-;positive;-
Many free activities and water.;-;-;-;-;-;-
Only downside is that it's far to the closest town.;-;-;-;-;-;-
4th visit.;-;-;-;-;-;-
Newly upgraded.;-;-;-;-;-;-
Outstanding!;-;-;-;-;-;-
Amazing place;-;-;-;-;-;-
Everything was great about our stay from staffing to service and amenities.;-;-;-;-;positive;-
Perfection.;-;-;-;-;-;-
very relaxing beautiful nature amazing golf course friendly  helpful staff at the hotel;-;-;-;-;positive;-
fabulous tech updates in the room.;-;-;-;positive;-;-
They spent the renovation money well.;-;-;-;-;-;-
Additionally the staff were extremely courteous and attempted to anticipate every need.;-;-;-;-;positive;-
Amazing roomsurroundings  etc.;-;-;-;-;-;-
so many things to do.;-;-;-;-;-;-
Wonderful staff w 1 exception but manager made up for jerky guy at pool.;-;-;-;-;positive;-
Highly recommend and will be back!;-;-;-;-;-;-
Was the best hotel staff I have ever met.;-;-;-;-;positive;-
The hotel was very clean and updated.;positive;-;-;-;-;-
The hotel was very helpful.;-;-;-;-;-;-
They went above and beyond their job;-;-;-;-;-;-
The Four Seasons was perfect as a place for my husband and I to relax and enjoy our time together.;-;-;-;-;-;-
The staff is exceptional!;-;-;-;-;positive;-
Every one of them goes above and beyond to make certain you are comfortable and having the best holiday imaginable.;-;-;-;-;-;-
The property is immaculately maintained.;-;-;-;-;-;-
The only hard part was leaving.;-;-;-;-;-;-
Fully worth the money paid lots of things to do on the premises nice and friendly staff.;-;-;-;-;positive;-
Nice hotel close to town good English speaking staff.;-;-;-;-;positive;-
Clean room.;-;-;-;-;-;-
good gardens and pool;-;-;-;-;-;-
The staff in the hotel are all friendly and very helpful.;-;-;-;-;positive;-
The rooms are clean and appropriately furnished including tea making facilities.;positive;positive;-;positive;-;-
The self-service breakfast offers a good range of food catering to a variety of tastes.;-;positive;-;-;positive;-
The hotel is situated within walking distance of Lilongwe Mall where there are banking and shopping facilities.;-;-;positive;-;-;-
I like how central this hotel is to amenities.;-;-;positive;-;-;-
It was mostly quiet.;-;-;-;-;-;-
Breakfast was provided and the omelet station is a hit.;-;positive;positive;-;-;-
Water pressure in the shower was very low and the housekeeping staff woke me up everyday with the carts and talking in the hallway.;-;-;-;negative;negative;-
The hotel has a pleasing layout and attractive grounds.;-;-;-;-;-;-
A good restaurant and business facilities were particularly appreciated as were the staff who were friendly and helpful for the most part.;-;-;-;-;positive;-
The room was pleasant with good amenities.;-;-;-;positive;-;-
At the time I visited southern winter the pool was being renovated and the hotel had hot water problems but the latter was fixed within 24 hours.;-;-;-;-;-;-
My stay was nothing to write home about.;-;-;-;-;-;-
The hotel itself is quite dated but none the less clean and quite.;negative;-;-;-;-;-
The room is quite large and comfortable but the water pressure and heat in the shower was not good.;-;-;-;negative;-;-
I found the reception team to be a little unfriendly.;-;-;-;-;-;-
The resturant was pleasant service was excellent food average however limited choices and quite expensive.;-;positive;-;-;positive;-
Stayed a couple of nights on husiness.;-;-;-;-;-;-
Food was Good staff happy to help fast internet comfortable bed - a brilliant stay.;-;positive;-;-;positive;-
Would definitely stay again!;-;-;-;-;-;-
The Hotel needs a renovation urgently especially the entrance the fountain etc is outdated.;-;-;-;-;-;-
The restaurant needs to be REVAMPED.;-;-;-;-;-;-
The appliance of the hotel looks very tired and old.;-;-;-;-;-;-
it needs tobe upgraded like the capital or Mt Souche.;-;-;-;-;-;-
The hotel was clean and friendly but required an upgrade.;positive;-;-;-;positive;-
The buffet breakfast was great!;-;positive;-;-;-;-
Hotel hasn't been renovated for a while.;-;-;-;-;-;-
Food not good in terms of varieties and quality;-;negative;-;-;-;-
Read great reviews but I was not impressed.;-;-;-;-;-;-
Room 507 has weak to no wifi and no air conditioning.;-;-;-;negative;-;-
Lima can be warm and muggy as it was during my stay.;-;-;-;-;-;-
To cool off you get a ceiling fan and open windows which lets in the noise from the very busy Miraflores traffic outside.;-;-;-;negative;-;-
The full size bed was too firm.;-;-;-;-;-;-
Breakfast buffet was ok.;-;negative;-;-;-;-
Location is good for most things as Miraflores is the most popular place to stay in Lima;-;-;positive;-;-;-
So happy they are very nice;-;-;-;-;-;-
Great location and staff was helpful.;-;-;positive;-;positive;-
Enjoyed the view from our room.;-;-;-;positive;-;-
Great hotel-bed super comfortable spacious and clean.;positive;-;-;-;-;-
The free breakfast was a plus;-;positive;-;-;-;-
Check in was fantastic Dana at the front desk was incredibly helpful and friendly.;-;-;-;-;positive;-
Room was comfy and pretty.;-;-;-;positive;-;-
Nice place super friendly staff delicious breakfast;-;positive;-;-;positive;-
Positive experience;-;-;-;-;-;-
Great hotel very clean and nice.;positive;-;-;-;-;-
will definitely be back if in that area;-;-;positive;-;-;-
love it and breakfast great!;-;positive;-;-;-;-
i will go there again;-;-;-;-;-;-
We didn't stay due to the address being misleading on hotels.com and the manager Kim wouldn't authorize hotels.com to give me a refund.;-;-;-;-;negative;-
Nice clean and quiet hotel with generous breakfast menu and friendly staff.;positive;positive;-;-;positive;-
Would stay again if I traveled trough the area.;-;-;positive;-;-;-
This is an amazing hotel.;-;-;-;-;-;-
We will return!;-;-;-;-;-;-
It’s very clean!;positive;-;-;-;-;-
Enjoyed the horse show nearby and hotel was very convenient to the horse park and to Starbucks.;-;-;positive;-;-;-
Comfortable beds clean nice staff.;positive;-;-;-;positive;-
I will use this hotel again if I’m in Lindale again.;-;-;-;-;-;-
Easy on-easy off interstate.;-;-;-;-;-;-
Mexican restaurant walking distance.;-;-;positive;-;-;-
Room was clean and spacious.;positive;-;-;positive;-;-
Bed comfortable.;-;-;-;-;-;-
Lots of electrical outlets.;-;-;-;-;-;-
Good Wi-Fi.;-;-;-;-;-;-
Good breakfast included.;-;positive;-;-;-;-
Could hear traffic from interstate.;-;-;-;-;-;-
A/C loud when clicked on.;-;-;-;-;-;-
Could have used brighter lighting in bath and separate switch for fan from lights in bath.;-;-;positive;positive;positive;-
This is a fairly new hotel and everything was good.;-;-;-;-;-;-
Beds and room comfort and would stay again.;-;-;-;positive;-;-
Very clean and great in general.;positive;-;-;-;-;-
Literally the only thing I would change is that I don't like where the closet is placed in the room :;-;-;-;-;-;-
Clean  nice hotel for decent price.;positive;-;-;-;-;-
Right off the highway.;-;-;-;-;-;-
This is a regular stay when visiting Lindale.;-;-;-;-;-;-
Staff very friendly.;-;-;-;-;positive;-
Great location with just a short hop to Tyler.;-;-;positive;-;-;-
Room was very clean and comfortable.;positive;-;-;positive;-;-
Would definitely stay here again.;-;-;-;-;-;-
Just wished they had flavored creamer for coffee. : ;-;negative;-;-;-;-
this is a family hotel close to Liftowski Mikolosh good location for trips around.;-;-;positive;-;-;-
